mascot,seed,data_mascot,data_article,data_date,data_views
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-07,111
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-08,88
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-09,92
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-10,76
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-11,106
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-12,71
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-13,85
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-14,72
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-15,97
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-16,95
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-17,80
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-18,110
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-19,94
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-20,89
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-21,121
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-22,117
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-23,112
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-24,102
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-25,136
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-26,122
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-27,162
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-28,170
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-29,243
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-30,2375
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-08-31,821
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-01,446
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-02,206
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-03,169
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-04,174
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-05,186
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-06,296
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-07,247
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-08,194
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-09,139
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-10,184
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-11,135
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-12,267
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-13,374
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-14,334
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-15,187
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-16,187
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-17,190
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-18,237
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-19,226
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-20,243
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-21,240
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-22,174
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-23,167
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-24,128
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-25,162
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-26,139
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-27,289
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-28,196
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-29,130
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-09-30,130
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-01,123
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-02,136
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-03,110
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-04,246
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-05,321
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-06,123
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-07,127
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-08,410
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-09,113
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-10,136
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-11,438
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-12,189
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-13,129
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-14,99
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-15,107
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-16,124
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-17,133
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-18,249
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-19,161
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-20,117
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-21,98
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-22,109
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-23,95
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-24,90
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-25,143
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-26,144
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-27,169
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-28,201
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-29,207
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-30,223
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-10-31,202
